1462.0776734816843 -1686.61567019373 ; 1445.211516779747 -1701.236446928547 
1413.0451699664286 850.091598164188 ; 1421.5460859480704 835.9611464645237 
255.59681620571243 -471.98130146597117 ; 250.87700319105272 -474.5372696280283 
355.02912426449285 -1978.9028196358636 ; 335.2400960681342 -1982.4531108785086 
-290.2390822811121 -1415.6901294171323 ; -304.3959835752834 -1412.7877385943211 
1366.4659443696974 -607.4886161076954 ; 1360.3910582086205 -621.1532755513924 
-727.6581376257013 686.7685363599403 ; -720.7904522621019 694.0451177361973 
-771.1504577890817 -1494.3479728997722 ; -786.0939375180794 -1486.6364683218815 
1488.3476150045146 -431.16820719172404 ; 1484.0359329325975 -446.0516833417692 
1728.3950605496184 -1580.0715054023974 ; 1712.5943454955943 -1597.3554560078935 
-1325.849125134741 17.983089010920718 ; -1325.6692942446316 31.24158026226813 
-1850.8334875554638 -1041.0097755197692 ; -1861.2435853106615 -1022.5014406442145 
-184.63462933365847 1192.1063789337773 ; -172.7135655443207 1193.952725227114 
-1949.6436176783507 515.7449264598206 ; -1944.4861684137525 535.2413626366041 
-1500.3539792616918 1722.2902160020465 ; -1483.1310771016713 1737.2937557946634 
1344.6306897031554 -1474.3461030483954 ; 1329.8872286726714 -1487.792409945427 
215.78777609218255 -570.526029967838 ; 210.08251579250418 -572.6839077287598 
-1209.0468008223847 990.1767106834401 ; -1199.1450337155504 1002.267178691664 
1580.047734375098 1899.8687462251105 ; 1599.046421837349 1884.0682688813595 
740.6922298193127 1770.6286622066027 ; 758.3985164413788 1763.2217399084095 
-727.4683969217361 964.8656566582835 ; -717.8197403551533 972.1403406275008 
-237.15691837898004 -595.1476900740372 ; -243.1083952797204 -592.7761208902474 
1885.9763952454257 -1238.881406615684 ; 1873.587581179269 -1257.7411705681382 
721.3723622910657 1027.0069219229888 ; 731.6424315102955 1019.7931983000782 
-481.77271039287484 -827.0966570983169 ; -490.043676963858 -822.2789299943881 
1696.047434353704 1333.588657001408 ; 1709.383320923718 1316.6281826578709 
1154.5538880655333 -825.8649179736079 ; 1146.2952388857973 -837.4104568542633 
-1797.6725520778316 -843.0833219014289 ; -1806.1033852968458 -825.1065963806506 
1900.6054262844393 -1844.157889325812 ; 1882.1638473911812 -1863.1639435886564 
-1403.5118901620242 1785.7187942613696 ; -1385.6547022194104 1799.7539131629899 
995.0019214524627 1762.144400072237 ; 1012.6233654531851 1752.1943808577123 
1882.8341828681703 -1500.2839260417313 ; 1867.831343607753 -1519.112267870413 
1981.7823500514312 -1792.767112768376 ; 1963.8546789237475 -1812.5849362688903 
-13.71137002107255 -1507.3654274645048 ; -28.785024295717598 -1507.2283137642942 
-1290.126925307725 410.28314230936707 ; -1286.0240938846314 423.1844115624443 
-126.39879856312291 -97.39340206614496 ; -127.37273258378436 -96.12941408051373 
-1503.8046497003722 1523.533513971681 ; -1488.5693145606554 1538.5715604686848 
286.3617408187679 1876.0759750182472 ; 305.1225005689504 1873.2123576100594 
1631.5832844137208 1682.2373289969553 ; 1648.4056577036904 1665.921496152818 
19.00883222797401 -651.3564368593995 ; 12.495267859380014 -651.5465251816793 
-678.8902665563717 -804.9973867883971 ; -686.9402404242556 -798.2084841228334 
46.68994794620194 -887.3634846453816 ; 37.81631309974812 -887.8303841248436 
1379.2166369467388 260.1985215369093 ; 1381.8186221621079 246.40635516744192 
868.7765465916477 -263.57049448546036 ; 866.1408416467931 -272.25825995137683 
283.3455138117609 1955.6744985422029 ; 302.9022587971829 1952.8410434040852 
1857.414048051687 -1667.5219698684375 ; 1840.7388283530024 -1686.0961103489544 
1840.934050841003 214.65980984707585 ; 1843.0806489394738 196.25046933866582 
-1272.8750466773429 869.162182065324 ; -1264.1834248566897 881.8909325320975 
1534.3725253533019 -1692.4473607658458 ; 1517.4480517456434 -1707.7910860193788 
-331.4383885762575 -71.61763567404597 ; -332.15456493299797 -68.30325178828339 
-1371.6894376893638 -1873.0416098003325 ; -1390.4198537873672 -1859.3247154234389 
671.167542547673 -1005.7504244491676 ; 661.1100383031812 -1012.4620998746443 
1559.6788884084856 -855.5272108710355 ; 1551.1236162997752 -871.1239997551204 
504.2540896157177 1673.3946956778225 ; 520.988036572496 1668.3521547816654 
-1971.4107168762273 1378.0124577411395 ; -1957.6305922988158 1397.7265649099018 
-1552.6080319286946 -1763.2308659964867 ; -1570.2403405886594 -1747.7047856771999 
128.2319752595002 1007.8736307370607 ; 138.3107115668708 1006.5913109844657 
-570.2336300029037 786.9360463910514 ; -562.3642695389932 792.6383826910804 
-101.0992657823856 675.9533055775466 ; -94.33973272661014 676.9642982353705 
346.89599718487995 -586.976205164351 ; 341.0262351332364 -590.4451651361998 
677.3712644174344 225.79604097670767 ; 679.6292248272015 219.02232833253333 
1368.584027346212 75.03681764873264 ; 1369.3343955226994 61.35097737527052 
1870.4000410975036 -315.9803953739654 ; 1867.240237143764 -334.6843957849404 
-584.5108362384764 1052.0937199540806 ; -573.9898990389356 1057.9388283164653 
1515.5935837518596 1027.1881049264605 ; 1525.865464801124 1012.0321690889419 
1425.9098874232957 605.5180054922159 ; 1431.9650674782179 591.258906617983 
-1104.6406774148263 -78.15540819985515 ; -1105.422231496825 -67.10900142570688 
-1404.1567421277125 -1818.7761688816831 ; -1422.3445038165294 -1804.734601460406 
75.75970953168961 -1016.9232998032242 ; 65.59047653365737 -1017.680896898541 
-1968.225278634463 437.7888615720694 ; -1963.8473900187423 457.471114358414 
-269.03417975937134 1563.7279488937425 ; -253.39690027043392 1566.418290691336 
26.04016171667019 424.69493897897394 ; 30.287111106459932 424.43453736180726 
927.1526926686361 -284.5832433374492 ; 924.3068602352615 -293.85477026413554 
-766.7362157781652 1837.5357338550184 ; -748.360858439615 1845.2030960128 
-435.8200834987053 27.723362749253887 ; -435.54284987121275 32.08156358424094 
-1239.8575322512634 -1111.7683556083286 ; -1250.9752158073466 -1099.369780285816 
196.372730621891 -1672.319779460082 ; 179.6495328272902 -1674.283506766301 
-879.1045590026288 -475.72572063271707 ; -883.8618162089559 -466.9346750426908 
52.25396775859091 1465.0075694568066 ; 66.90404345315898 1464.4850297792207 
884.8153033841285 83.68686494673689 ; 885.6521720335959 74.8387119128956 
-281.0432991246488 334.84490969591025 ; -277.6948500276897 337.65534268715675 
-1132.5792622700042 761.2470676298964 ; -1124.9667915937052 772.5728602525965 
-1046.5905137369327 -1677.4508189532548 ; -1063.3650219264653 -1666.9849138158854 
-76.90054575459317 350.18398465429334 ; -73.39870590805023 350.95299011183926 
1191.0992927174532 229.21752105628255 ; 1193.391467928016 217.30652812910802 
-129.24958039578343 -50.3453869668789 ; -129.75303426545221 -49.052891162921064 
221.3105509645141 104.61659949152727 ; 222.35671695942938 102.40349398188212 
-415.48967680946134 1383.1705746166413 ; -401.65797106329495 1387.325471384736 
789.7353768946432 -25.703207854283132 ; 789.4783448161004 -33.60056162322957 
309.32832605266873 1010.77709392843 ; 319.43609699195304 1007.6838106679032 
757.3983102084322 1193.1640104206697 ; 769.329950312639 1185.5900273185853 
-586.094161354412 1992.6097257222696 ; -566.1680640971892 1998.4706673358137 
-1311.8605222364226 -328.0314580009269 ; -1315.1408368164318 -314.91285277856264 
-687.1014209793399 -106.18952401391988 ; -688.163316219479 -99.31850980412648 
-1467.8075565016063 -201.68227634919748 ; -1469.8243792650983 -187.00420078418142 
1003.8452014513721 -525.8161801782695 ; 998.5870396495894 -535.8546321927832 
1060.8265850408884 598.7615634441978 ; 1066.8142006753303 588.1532975937889 
239.7669025175 -413.2669760497709 ; 235.63423275700228 -415.6646450749459 
-0.4617841110491758 1604.960455691734 ; 15.587820445868164 1604.9650735328446 
1087.4694698042956 -703.7361465259436 ; 1080.4321083390362 -714.6108412239865 
1361.4340833909 1392.1532430376924 ; 1375.3556158212768 1378.5389022037834 
-716.7533473071019 1130.4179770967721 ; -705.4491675361342 1137.585510569843 
588.7745923232877 122.9615181648642 ; 590.0042075049364 117.07377224163133 
1856.018568546756 -1718.578127873092 ; 1838.832787268025 -1737.1383135585595 
-40.961005527030395 1771.1544905704595 ; -23.2494606213258 1771.56410062573 
622.6404960458523 -1557.8446873882015 ; 607.0620491719702 -1564.07109234866 
-530.9351967050376 354.5632622475488 ; -527.3895640825621 359.87261421459914 
860.9568856665146 1953.9654074021312 ; 880.4965397405359 1945.355838545466 
1304.572875709356 -566.0643258463233 ; 1298.9122324508926 -579.1100546034169 
809.0081210972778 -1847.094471497013 ; 790.5371763823077 -1855.1845527079859 
1532.4024026597303 1510.2815806847898 ; 1547.5052184665783 1494.9575566581925 
1575.6271635874728 1219.4482594927556 ; 1587.8216461824004 1203.6919878568808 
-845.9353858727342 -1311.2603363297146 ; -859.0479892360313 -1302.8009824709873 
1901.8119622871066 1711.219101619781 ; 1918.9241533033044 1692.2009819969098 
-272.7081274975733 -1174.0747326045398 ; -284.44887482361867 -1171.347651329564 
-58.89984177999402 1507.310667411189 ; -43.82673510588213 1507.8996658289889 
1571.8015787647587 1824.796353445535 ; 1590.049542299214 1809.0783376578875 
1574.8884429184031 1425.7758764607725 ; 1589.1462016830108 1410.0269920315884 
1004.0267392625998 1547.4634298709127 ; 1019.5013735613089 1537.4231624782867 
1982.134569680594 -1870.8193435846238 ; 1963.4263762447479 -1890.6406892814298 
606.0621151329922 284.78320921357056 ; 608.9099472251279 278.7225880622406 
1070.2994196491272 -473.96175651200764 ; 1065.559802084007 -484.6647507084989 
605.9454294357862 42.00193780708013 ; 606.365448813857 35.94248351272227 
1153.2682028568106 525.8932330046832 ; 1158.5271351868573 514.3605509761151 
910.5794885396015 598.8168072598762 ; 916.5676566122003 589.7110123744802 
1699.9126597191132 -1674.6538226299924 ; 1683.1661214928133 -1691.6529492271836 
-1003.9364780555823 -1019.6700846660294 ; -1014.1331789022425 -1009.6307198854736 
550.4699553945088 -1884.1009982620908 ; 531.6289454118879 -1889.605697816036 
-1489.5137376304463 -726.5758107166317 ; -1496.7794957376125 -711.6806733403273 
15.660884973679085 1016.0385214579119 ; 25.821270188258204 1015.8819126081751 
993.7623858695268 928.4039829180889 ; 1003.0464256987077 918.4663590593937 
321.3434124405865 335.88120644430205 ; 324.70222450502956 332.6677723198962 
857.981821012412 -1635.160558139352 ; 841.6302154310184 -1643.740376349476 
427.703939030526 -1622.4305498917397 ; 411.4796335316086 -1626.7075892820449 
-1238.2587731413455 -622.6304904626113 ; -1244.4850780459717 -610.2479027311979 
-956.8575185272939 -689.703580001057 ; -963.7545543273045 -680.1350048157841 
154.17966685307525 409.06721732816845 ; 158.27033902635694 407.5254206596377 
-1092.337158022732 -1411.063527120304 ; -1106.447793293935 -1400.1401555400766 
1090.4636714837477 -1435.7038092089474 ; 1076.1066333916583 -1446.608445923785 
-53.62743521046496 938.3924630892182 ; -44.24351057957278 938.9287374413228 
1122.6015631602038 -800.614415974995 ; 1114.5954190004538 -811.8404316065971 
-1642.609531366516 1502.0050942812425 ; -1627.5894804237034 1518.4311895949077 
1150.6874693430127 546.2191359670555 ; 1156.1496607026834 534.7122612736254 
1344.8332305443041 -915.8461828993779 ; 1335.6747687153104 -929.294515204821 
142.2229901135055 1390.8841854144198 ; 156.13183196764967 1389.4619555132847 
-1250.2921353001004 -699.0574060660795 ; -1257.2827093607611 -686.5544847130784 
-341.5924863221561 1633.5174036736007 ; -325.2573122854201 1636.9333285368223 
-770.0270086970968 981.593039093831 ; -760.2110783061585 989.2933091808019 
-826.7369627517327 -1395.4702366892525 ; -840.6916651186252 -1387.202867061735 
233.9949699164481 704.1369078484314 ; 241.0363389949324 701.796958149267 
1996.3446548191314 206.9865756449604 ; 1998.414520575581 187.02312909676908 
-1539.2624677637396 1534.2319068490965 ; -1523.9201486952486 1549.6245315267338 
1158.6325968469641 939.4516376583423 ; 1168.0271132235475 927.8653116898727 
-1093.5983854308201 -1026.9392769444114 ; -1103.8677782002642 -1016.0032930901032 
319.48054310845777 1962.7913436620006 ; 339.1084565450778 1959.596538230916 
-1549.4826562279854 797.3882462671078 ; -1541.5087737653143 812.8830728293876 
1383.1558122344518 -1603.5675113760847 ; 1367.120137120691 -1617.399069498429 
-1839.6668950545952 1940.26622207104 ; -1820.2642328338848 1958.662891021586 
-1964.15971621323 -1162.1477111561192 ; -1975.7811933247913 -1142.506113993987 
1573.929506699067 1977.7852230343933 ; 1593.707358929411 1962.0459279674026 
447.7699732552776 957.4330373088827 ; 457.34430362836645 952.95533757633 
346.96650258342873 -126.4582980923617 ; 345.70191960250514 -129.92796311819598 
-1744.8306726299963 -17.13559570754575 ; -1745.002028587072 0.31271101875421436 
588.4157458291911 -401.40798719965426 ; 584.4016659571946 -407.29214465794615 
-790.104752978592 -432.0271776215087 ; -794.4250247548072 -424.1261300917228 
1692.0297994028035 33.70884838561781 ; 1692.3668878866597 16.788550391589776 
-1159.7450782122696 1464.4742094682417 ; -1145.1003361175872 1476.0716602503644 
736.3592580389554 -530.8877912545514 ; 731.0503801264099 -538.251383834941 
1318.6134355056627 -1410.436169964973 ; 1304.509073806013 -1423.6223043200296 
743.9732626442091 -1246.0128457337655 ; 731.5131341868714 -1253.4525783602076 
-1864.2901844334933 1379.8088796284358 ; -1850.4920956372089 1398.4517814727708 
1394.9966181462596 -1013.3031224643253 ; 1384.8635869216164 -1027.2530886457878 
1310.4783475106722 -984.143207919491 ; 1300.6369154314773 -997.2479913945978 
-312.7132924093015 1964.9021147866931 ; -293.06427126143456 1968.0292477107862 
763.1332904273133 -1716.9504296139883 ; 745.9637861311735 -1724.5817625182615 
369.1229827955483 1448.395152428449 ; 383.60693431983276 1444.7039226004933 
-514.3402312383813 795.519768204771 ; -506.3850335563336 800.6631705171549 
-1732.7160830532218 -607.5520199497719 ; -1738.7916032527196 -590.2248591192397 
1196.1102226938772 926.2851701522744 ; 1205.3730743954 914.3240679253356 
-1701.5422086835604 1682.5491799349659 ; -1684.7167168842107 1699.5646020218014 
1036.09145178734 787.9493745905289 ; 1043.9709455332454 777.5884600726555 
1240.6589331887683 280.9114450546238 ; 1243.4680476393146 268.5048557227361 
1488.9821539525385 -1582.5635574193543 ; 1473.156518378345 -1597.4533789588797 
-776.975770088438 1326.6915903050974 ; -763.708854185387 1334.4613480059818 
107.48498825945299 -998.4176194582349 ; 97.50081206487064 -999.4924693408294 
-770.7410313850173 -1854.3953773729893 ; -789.2849851587472 -1846.687967059139 
-1284.721666996655 361.37761982159066 ; -1281.107890798439 374.2248364915572 
-9.513919347682691 -764.8003622178467 ; -17.16192296986116 -764.7052230243698 
667.9324608402753 -649.6810846958514 ; 661.4356499933168 -656.3604093042542 
1490.3350314933846 -1666.492115316538 ; 1473.6701103402193 -1681.3954656314718 
-1675.0864370963059 -1274.4763729564536 ; -1687.8312008258704 -1257.7255085854906 
704.6988933588557 1152.2894298312444 ; 716.2217876571681 1145.2424408976558 
1935.1086899947622 -1859.6792872909325 ; 1916.5118971218528 -1879.0303741908801 
-84.21057657661058 289.65514274185693 ; -81.314025149192 290.49724850762306 
984.5291653322251 800.459392584321 ; 992.5337592580684 790.6141009309987 
161.43178143950246 27.675542289969812 ; 161.70853686240216 26.061224475574786 
-1124.9287172716058 1424.362251658435 ; -1110.6850947550215 1435.6115388311512 
1513.3156812181337 1847.3641476982602 ; 1531.7893226951162 1832.2309908860789 
-1353.5162209480452 -1516.880748483584 ; -1368.6850284328812 -1503.3455862741037 
-562.2387604276064 -388.7485684639818 ; -566.1262461122462 -383.12618085970576 
-1152.988167534842 -1731.4667486124026 ; -1170.302835020966 -1719.9368669370542 
1810.8823498113104 1659.3904973673634 ; 1827.4762547849841 1641.2816738692504 
-1220.3167354480424 1231.6063197463363 ; -1208.000672250579 1243.8094871008168 
835.2730976555355 956.5660371796737 ; 844.8387580273322 948.2133062031183 
1443.3780557268583 -1285.0144775739498 ; 1430.5279109511189 -1299.4482581312184 
-1476.0013608071997 928.0339544258333 ; -1466.7210212629413 942.7939680339052 
-1157.9174527142839 654.9739753275392 ; -1151.3677129610085 666.553149854682 
-759.0750011179163 2.3750831581067002 ; -759.0512502863352 9.965833169285862 
1905.3467516584185 -1508.563806979678 ; 1890.2611135886218 -1527.617274496262 
262.8913929956522 -1925.672692676126 ; 243.63466606889097 -1928.3016066060825 
-700.0279429049771 -1770.1706015542811 ; -717.7296489205198 -1763.1703221252315 
-621.7099014287924 -232.26922666339854 ; -624.0325936954264 -226.05212764911062 
836.1852511985053 -1281.148657829081 ; 823.3737646202145 -1289.510510341066 
3.5056041382873966 -1988.8713098726896 ; -16.3831089604395 -1988.9063659140725 
1476.9763598030568 1584.5883959430046 ; 1492.8222437624868 1569.818632344974 
-1542.715472975728 -1720.2559727156129 ; -1559.9180327028841 -1704.8288179858555 
834.6066086026956 1961.2526700701933 ; 854.2191353033975 1952.9066039841664 
1775.7736391366493 1727.4154287441245 ; 1793.0477934240905 1709.657692352758 
-1425.3486489764566 468.95920659254415 ; -1420.6590569105313 483.2126930823087 
440.9953122107717 397.2879361080469 ; 444.9681915718522 392.8779829859392 
-655.5615720278262 -713.2375786421782 ; -662.693947814248 -706.6819629218999 
1321.019659153135 -1839.3172136755081 ; 1302.62648701638 -1852.5274102670394 
-558.9631954515222 1536.7782959297556 ; -543.5954124922247 1542.3679278842708 
451.5912341618048 -1611.2902540728996 ; 435.47833162107577 -1615.8061664145177 
1383.2159989163404 -100.17720257140152 ; 1382.2142268906264 -114.00936256056492 
748.5208137251302 -918.005327046145 ; 739.3407604546687 -925.4905351833963 
-1723.3831215959046 1005.5870726919919 ; -1713.3272508689847 1022.820903907951 
-744.1268296228719 -1935.9523661176775 ; -763.4863532840487 -1928.5110978214486 
1397.3550368661097 -1253.78526914478 ; 1384.8171841746619 -1267.758819513441 
1897.6002513177561 1846.8108228041178 ; 1916.0683595457974 1827.8348202909403 
966.6716571773778 1608.951010586503 ; 982.7611672832428 1599.284294014729 
-1124.9016907114687 -1137.5630515516962 ; -1136.2773212269858 -1126.3140346445814 
-1121.4357303076383 811.1350099918426 ; -1113.32438020772 822.3493672949189 
-1476.779934401418 -1032.9652765614585 ; -1487.1095871670325 -1018.1974772174443 
1343.7788786048977 468.8562619886391 ; 1348.4674412247841 455.4184732025901 
1242.5423005119603 -713.2305147778177 ; 1235.4099953641821 -725.6559377829373 
-231.36779859862398 -1904.5267133181121 ; -250.4130657318051 -1902.2130353321259 
-1796.5642860643495 872.0222370982559 ; -1787.844063693367 889.9878799588994 
1140.5536331378923 1051.7705782805167 ; 1151.0713389206976 1040.3650419491378 
1427.4007871479648 -1910.2379649215738 ; 1408.2984074987492 -1924.5119727930535 
1476.2320181664095 -1184.6919294552024 ; 1464.3850988718575 -1199.4542496368665 
1206.8430215522976 220.08684104317328 ; 1209.0438899627293 208.0184108276503 
-1256.5763986233542 -1568.45325992604 ; -1272.2609312226145 -1555.8874959398063 
-473.42996711314584 696.6849067520809 ; -466.46311804562504 701.4192064232124 
-510.97813167134774 -615.7782367321731 ; -517.1359140386695 -610.6684554154597 
1161.4600616107182 33.30184501520465 ; 1161.7930800608701 21.687244399097466 
-878.6821233224935 18.48266455599235 ; -878.4972966769335 27.269485789217285 
447.6997229029616 404.2655570409353 ; 451.74237847337093 399.78855981190566 
-319.1252138613656 -1840.7114451543487 ; -337.53232831290904 -1837.520193015735 
-735.606265192722 1389.9075157316486 ; -721.7071900354056 1397.2635783835758 
-1145.325109036115 -714.4105125671045 ; -1152.469214161786 -702.9572614767434 
753.2130069663076 1452.3064784252854 ; 767.7360717505604 1444.7743483556224 
-1392.7051564115093 157.0317124560159 ; -1391.134839286949 170.95876402013099 
1423.9868754348115 -1553.5979261405125 ; 1408.4508961734064 -1567.8377948948607 
-1419.3060511997946 -1407.6012066914018 ; -1433.3820632667087 -1393.4081461794037 
1258.164950474592 -1671.6109476676315 ; 1241.4488409979156 -1684.1925971723774 
-484.2797745162403 -1138.6617083291246 ; -495.66639159953155 -1133.8189105839622 
1060.3101067469277 767.6958336645024 ; 1067.9870650835726 757.0927325970331 
-334.35786761960003 -11.928952262620196 ; -334.47715714222625 -8.585373586424197 
210.4373607142587 -488.98050121256057 ; 205.54755570213308 -491.08487481970315 
1522.8349097056541 1278.000995897825 ; 1535.6149196646325 1262.7726468007686 
1161.64609035961 -1506.6490940618623 ; 1146.5795994189914 -1518.2655549654585 
523.3901221261895 1717.507126633886 ; 540.5651933925283 1712.273225412624 
1247.5129246459544 -1991.1441324894186 ; 1227.6014833210602 -2003.6192617358781 
-270.4303785611483 1031.7590247793469 ; -260.1127883133548 1034.4633285649584 
569.6305791228301 -1845.4176875118953 ; 551.1764022477112 -1851.1139933031236 
255.49765114088592 1322.3553701742062 ; 268.72120484262797 1319.8003936627974 
1890.7836490747045 -1371.081899918746 ; 1877.072830075517 -1389.9897364094932 
1046.7599293862675 993.9145570911262 ; 1056.6990749571787 983.4469577972635 
-1635.9128774779922 183.8970219695047 ; -1634.0739072582971 200.2561507442846 
1852.7425289016908 1217.206741673927 ; 1864.91459631843 1198.67931638491 
-274.8529624025048 -136.18616832050367 ; -276.21482408570984 -133.43763869647861 
-1868.615478579441 -761.4140085624787 ; -1876.2296186650658 -742.7278537766842 
-1716.0055719897641 -1798.7579468878205 ; -1733.9931514586424 -1781.5978911679229 
60.98698519721226 -1503.0087177463972 ; 45.956898019748294 -1503.6185875983695 
1283.3341681279353 -1072.1516395670337 ; 1272.612651732265 -1084.984981248313 
-1793.7311219602102 1954.467960329604 ; -1774.186442356914 1972.4052715492062 
208.58059427454037 -1411.0900644565334 ; 194.46969362997504 -1413.1758703992787 
-12.324905889013834 -30.355992916208663 ; -12.62846581817592 -30.232743857318525 
-1533.5115793167538 -1522.6231702941996 ; -1548.7378110196958 -1507.288054501032 
1958.818941351881 -1773.2416152771482 ; 1941.0865251991095 -1792.829804690667 
-36.73591894950667 -124.35254467720533 ; -37.97944439627872 -123.98518548771027 
-1638.5793412785667 274.1078255660415 ; -1635.8382630229064 290.4936189788272 
-1121.7894350846223 716.6267667098359 ; -1114.623167417524 727.8446610606821 
1995.127845892407 -693.9066557848761 ; 1988.1887793345584 -713.8579342438002 
1216.2322663089676 -41.00442422442485 ; 1215.8222220667233 -53.16674688751453 
1025.6654724268235 758.6707421384269 ; 1033.2521798482078 748.4140874141586 
1869.336586605282 1824.2382511234587 ; 1887.5789691165166 1805.544885257406 
213.5486787700732 -1218.5642192569844 ; 201.36303657750335 -1220.6997060446852 
-1036.8811290960562 418.90535422772075 ; -1032.692075553779 429.2741655186813 
-1420.0584021539455 -158.56703911789725 ; -1421.6440725451246 -144.3664550963578 
1713.5678993693753 139.00406805660108 ; 1714.9579400499413 121.86838906290734 
1528.8643658284893 1124.460709592047 ; 1540.1089729244097 1109.172065933762 
-309.5214324515609 303.4873256189077 ; -306.4865591953718 306.5825399434233 
-1945.6176395053262 -1440.1273035819474 ; -1960.0189125411457 -1420.6711271868942 
-1077.8955092494207 518.018524198856 ; -1072.7153240074322 528.7974792913502 
-1546.8445593537754 61.11328958871846 ; -1546.233426457888 76.58173518225621 
-300.6235926692187 -913.9004991740716 ; -309.7625976609594 -910.8942632473794 
633.9635278820049 -267.76581075937776 ; 631.2858697744111 -274.1054460381978 
1798.8869386257918 1216.4265935960934 ; 1811.0512045617527 1198.4377242098356 
-5.146687072732294 -7.988089321332632 ; -5.226567965945621 -7.936622450605309 
-514.2325176233265 -758.8591581057617 ; -521.8211092043841 -753.7168329295284 
-525.5086348971167 1504.2027316965243 ; -510.4666075801515 1509.4578180454955 
1782.288934970517 -9.93201083079884 ; 1782.189614862209 -27.75490018050401 
184.36474257825253 1730.1411463524116 ; 201.66615404177665 1728.297498926629 
1623.095238121434 -1213.2536788111004 ; 1610.962701333323 -1229.4846311923147 
-1134.4510532284335 1086.634633627415 ; -1123.5847068921594 1097.9791441596994 
-978.7431758019376 -1968.8059370176647 ; -998.4312351721143 -1959.0185052596453 
130.6827516642846 -1047.1841720591788 ; 120.21090994369283 -1048.4909995758217 
1537.2551627925536 -1657.7673925978145 ; 1520.6774888665755 -1673.13994422574 
1847.0461799855943 -1756.9654332195628 ; 1829.4765256533988 -1775.4358950194187 
-629.81828435667 -1302.9168770875917 ; -642.8474531275459 -1296.618694244025 
-1878.5826438143165 -450.49547247785006 ; -1883.087598539095 -431.7096460397069 
-935.0348205676693 898.2248045564828 ; -926.0525725221045 907.5751527621595 
980.2947268940384 -1139.312222460006 ; 968.9016046694384 -1149.1151697289465 
-500.1878093625061 1246.4765155306716 ; -487.72304420719934 1251.4783936242966 
1143.8243284520595 -1067.8330210608817 ; 1133.1459982414506 -1079.2712643454024 
266.92838714024606 902.6880538291001 ; 275.95526767853704 900.0187699576976 
-893.7675244551549 -541.5262747472865 ; -899.1827872026278 -532.588599502735 
-1038.9115797202692 -1799.4481349336343 ; -1056.9060610696056 -1789.0590191364315 
274.13516205279467 481.7676295328894 ; 278.9528383481236 479.0262779123614 
1671.7005784058545 -71.72054403289388 ; 1670.9833729655256 -88.43754981695243 
1237.6911563802835 -1001.4564110526561 ; 1227.6765922697568 -1013.833322616459 
-292.68702503159255 -916.7196307966705 ; -301.8542213395593 -913.7927605463545 
157.6852682448044 767.832358021335 ; 165.36359182501775 766.255505338887 
-49.52094480357679 697.2635597036065 ; -42.54830920654072 697.7587691516422 
1497.889482958789 -860.2969183886578 ; 1489.2865137749022 -875.2758132182457 
1638.9631137542524 180.35832011674708 ; 1640.7666969554198 163.96868897920456 
-778.7086785244479 322.5823349889403 ; -775.4828551745585 330.3694217741848 
1834.0205230841902 -1431.6774716512396 ; 1819.703748367678 -1450.0176768820816 
-215.54967214834568 -459.577663465067 ; -220.14544878299634 -457.42216674358355 
925.344042361625 68.97587086867381 ; 926.0338010703118 59.722430445057554 
733.1885185332369 -1123.6996512272174 ; 721.9515220209647 -1131.0315364125497 
1408.670941053612 1365.0919609345297 ; 1422.3218606629573 1351.0052515239936 
603.835486279502 -411.1031951025185 ; 599.7244543284768 -417.1415499653135 
-1271.7309349250847 1298.229028532789 ; -1258.7486446397568 1310.9463378820399 
-543.6911448208002 1031.0547730746769 ; -533.3805970900535 1036.491684522885 
-665.2694778183543 61.92856930150368 ; -664.6501921253392 68.58126407968722 
1625.8959418614477 1982.794195194384 ; 1645.7238838133915 1966.5352357757695 
260.043311441595 -1038.8697569709022 ; 249.65461387188597 -1041.470190085318 
864.7098372548397 1109.1434255633405 ; 875.8012715104732 1100.496327190792 
-1328.481065488585 1231.1981403224702 ; -1316.1690840853603 1244.482950977356 
39.53778520262339 -1607.5983448910847 ; 23.461801753712543 -1607.993722743111 
-697.0740935916618 555.6266829321827 ; -691.5178267623401 562.5974238680993 
-682.1462923213995 1974.6734813212265 ; -662.3995575081873 1981.4949442444406 
-1225.8038883755612 323.56209619710705 ; -1222.56826741359 335.82013508086266 
-534.0228357644249 620.6622998574815 ; -527.8162127658501 626.0025282151257 
-1573.1830971132704 -1666.1118763190943 ; -1589.8442158764612 -1650.3800453479616 
1377.7826102683453 -997.9019425645187 ; 1367.8035908427 -1011.6797686672021 
1463.6014332213977 609.4981593467559 ; 1469.6964148148652 594.8621450145419 
-747.924573393096 -26.883593937150334 ; -748.1934093324675 -19.404348203219374 
-1258.6403962319584 969.8915736985457 ; -1248.941480494973 982.4779776608652 
-1637.343108140749 1656.452759772623 ; -1620.7785805430228 1672.8261908540305 
210.96035737896713 -1530.9065677832364 ; 195.65129170113477 -1533.016171357026 
1400.062508659313 299.49054343688596 ; 1403.0574140936817 285.48991835029284 
-364.08703253867924 520.8217142686325 ; -358.8788153959929 524.4625845940193 
-1353.3949063383093 -1181.9127696382945 ; -1365.2140340346923 -1168.3788205749115 
-254.46197173661125 -1201.4376484743034 ; -266.47634822135427 -1198.8930287569374 
-1389.652300689889 -917.1606990454828 ; -1398.8239076803438 -903.264176038584 
